         3205740 function calls (3203733 primitive calls) in 64.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   64.383   64.383 run.py:2(<module>)
        1    0.000    0.000   64.161   64.161 Tkinter.py:1071(mainloop)
        1   50.166   50.166   64.161   64.161 {built-in method mainloop}
2929/2797    0.019    0.000   13.995    0.005 Tkinter.py:1484(__call__)
     2275    0.067    0.000   13.951    0.006 run.py:29(move_one)
     2274    0.018    0.000   13.925    0.006 Tkinter.py:534(callit)
     2275    0.087    0.000   13.651    0.006 manager.py:54(run)
    87500    9.008    0.000    9.035    0.000 {built-in method call}
    25338    0.154    0.000    7.247    0.000 Tkinter.py:2263(_create)
     2275    0.024    0.000    5.454    0.002 shapes.py:1051(draw)
     2275    0.005    0.000    5.408    0.002 Tkinter.py:2295(create_text)
    16237    0.173    0.000    2.062    0.000 shapes.py:480(draw)
     2275    0.011    0.000    1.386    0.001 Tkinter.py:965(update)
    87591    0.225    0.000    1.353    0.000 sprite.py:545(update_animation)
     2275    0.028    0.000    1.180    0.001 manager.py:75(update_animation)
     2275    0.047    0.000    1.141    0.001 sprite.py:288(draw)
      514    0.010    0.000    0.997    0.002 sprite.py:532(update_image)
    16237    0.021    0.000    0.910    0.000 Tkinter.py:2289(create_polygon)
     2275    0.039    0.000    0.877    0.000 environment.py:96(draw)
    16237    0.580    0.000    0.848    0.000 transformations.py:95(poly_star)
     2276    0.039    0.000    0.841    0.000 ImageTk.py:77(__init__)
 1028/514    0.007    0.000    0.724    0.001 Image.py:1299(resize)
      514    0.644    0.001    0.644    0.001 {method 'stretch' of 'ImagingCore' objects}
     2276    0.006    0.000    0.630    0.000 Tkinter.py:2292(create_rectangle)
     2276    0.014    0.000    0.607    0.000 ImageTk.py:153(paste)
     2275    0.022    0.000    0.484    0.000 manager.py:79(update_collision)
    25340    0.174    0.000    0.477    0.000 Tkinter.py:1105(_options)
    18499    0.078    0.000    0.460    0.000 sprite.py:418(update_collision)
     2275    0.022    0.000    0.435    0.000 manager.py:70(update_physics)
    20775    0.142    0.000    0.413    0.000 sprite.py:322(update_physics)
     2275    0.014    0.000    0.366    0.000 manager.py:86(update_events)
    76826    0.088    0.000    0.352    0.000 sprite.py:508(check_two_sprites_for_collision)
   174427    0.311    0.000    0.340    0.000 sprite.py:517(get_hitbox_edges)
     4550    0.007    0.000    0.338    0.000 Tkinter.py:2280(create_image)
     2275    0.008    0.000    0.336    0.000 environment.py:88(update_events)
     5960    0.090    0.000    0.308    0.000 sprite.py:381(clear_queue)
     2275    0.039    0.000    0.233    0.000 Tkinter.py:523(after)
    22485    0.178    0.000    0.196    0.000 hitbox.py:25(update_corners)
     2276    0.010    0.000    0.183    0.000 Tkinter.py:3324(__init__)
     2275    0.014    0.000    0.179    0.000 Tkinter.py:2305(delete)
     2573    0.010    0.000    0.174    0.000 Image.py:664(convert)
     2276    0.042    0.000    0.173    0.000 Tkinter.py:3265(__init__)
   477359    0.161    0.000    0.161    0.000 {isinstance}
     2377    0.104    0.000    0.146    0.000 Tkinter.py:1148(_register)
        1    0.010    0.010    0.140    0.140 __init__.py:1(<module>)
     2573    0.133    0.000    0.133    0.000 {method 'convert' of 'ImagingCore' objects}
      515    0.018    0.000    0.132    0.000 Image.py:1338(rotate)
    23064    0.045    0.000    0.130    0.000 Tkinter.py:834(winfo_reqwidth)
    25341    0.070    0.000    0.122    0.000 Tkinter.py:109(_cnfmerge)
 1030/515    0.005    0.000    0.108    0.000 Image.py:1600(transform)
        1    0.002    0.002    0.107    0.107 environment.py:1(<module>)
    25339    0.032    0.000    0.091    0.000 Tkinter.py:830(winfo_reqheight)
      515    0.001    0.000    0.083    0.000 Image.py:2071(composite)
    57177    0.083    0.000    0.083    0.000 {hasattr}
        1    0.000    0.000    0.080    0.080 run.py:15(__init__)
   202301    0.076    0.000    0.076    0.000 {math.sin}
   202301    0.074    0.000    0.074    0.000 {math.cos}
      515    0.006    0.000    0.073    0.000 Image.py:1046(paste)
   324740    0.069    0.000    0.069    0.000 {round}
      515    0.061    0.000    0.061    0.000 {method 'paste' of 'ImagingCore' objects}
   364410    0.060    0.000    0.060    0.000 {method 'append' of 'list' objects}
      654    0.024    0.000    0.058    0.000 Tkinter.py:1179(_substitute)
      179    0.001    0.000    0.054    0.000 environment.py:159(newfunction)
        1    0.000    0.000    0.051    0.051 manager.py:1(<module>)
        1    0.000    0.000    0.051    0.051 manager.py:4(Manager)
        1    0.000    0.000    0.051    0.051 Tkinter.py:1747(__init__)
        1    0.050    0.050    0.050    0.050 {_tkinter.create}
        1    0.049    0.049    0.050    0.050 Tkinter.py:31(<module>)
    50775    0.044    0.000    0.044    0.000 {method 'update' of 'dict' objects}
    50677    0.041    0.000    0.041    0.000 {_tkinter._flatten}
399963/399810    0.040    0.000    0.040    0.000 {len}
     2275    0.023    0.000    0.039    0.000 Tkinter.py:72(_stringify)
       47    0.003    0.000    0.033    0.001 sprite.py:141(__init__)
       45    0.000    0.000    0.032    0.001 starhedgehog.py:14(interval)
       97    0.001    0.000    0.031    0.000 Image.py:1973(open)
       45    0.001    0.000    0.031    0.001 shapes.py:447(__init__)
     8974    0.022    0.000    0.030    0.000 Image.py:628(load)
    39914    0.030    0.000    0.030    0.000 {range}
     2379    0.026    0.000    0.026    0.000 {built-in method createcommand}
     2274    0.009    0.000    0.025    0.000 Tkinter.py:394(deletecommand)
     4632    0.016    0.000    0.025    0.000 Image.py:472(_new)
