         4138279 function calls (4134817 primitive calls) in 69.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   69.817   69.817 run.py:2(<module>)
        1    0.000    0.000   69.661   69.661 Tkinter.py:1071(mainloop)
        1   53.108   53.108   69.661   69.661 {built-in method mainloop}
4128/3577    0.028    0.000   16.553    0.005 Tkinter.py:1484(__call__)
     2412    0.085    0.000   16.442    0.007 run.py:29(move_one)
     2411    0.019    0.000   16.420    0.007 Tkinter.py:534(callit)
     2412    0.094    0.000   16.122    0.007 manager.py:54(run)
   101085    9.588    0.000    9.649    0.000 {built-in method call}
    29636    0.175    0.000    7.758    0.000 Tkinter.py:2263(_create)
     2412    0.027    0.000    5.754    0.002 shapes.py:1048(draw)
     2412    0.005    0.000    5.703    0.002 Tkinter.py:2295(create_text)
   116884    0.283    0.000    2.479    0.000 sprite.py:545(update_animation)
    19987    0.201    0.000    2.432    0.000 shapes.py:480(draw)
     2412    0.032    0.000    2.240    0.001 manager.py:75(update_animation)
     1032    0.020    0.000    2.038    0.002 sprite.py:532(update_image)
     2412    0.012    0.000    1.562    0.001 Tkinter.py:965(update)
2064/1032    0.014    0.000    1.470    0.001 Image.py:1299(resize)
     1032    1.310    0.001    1.310    0.001 {method 'stretch' of 'ImagingCore' objects}
     2412    0.048    0.000    1.143    0.000 sprite.py:288(draw)
    19987    0.025    0.000    1.054    0.000 Tkinter.py:2289(create_polygon)
    19987    0.707    0.000    1.025    0.000 transformations.py:95(poly_star)
     2412    0.042    0.000    0.947    0.000 environment.py:96(draw)
     2413    0.041    0.000    0.824    0.000 ImageTk.py:77(__init__)
     2412    0.026    0.000    0.747    0.000 manager.py:79(update_collision)
    22385    0.119    0.000    0.718    0.000 sprite.py:418(update_collision)
     2413    0.006    0.000    0.684    0.000 Tkinter.py:2292(create_rectangle)
     2413    0.014    0.000    0.590    0.000 ImageTk.py:153(paste)
   123068    0.137    0.000    0.555    0.000 sprite.py:508(check_two_sprites_for_collision)
    29638    0.197    0.000    0.537    0.000 Tkinter.py:1105(_options)
     2412    0.016    0.000    0.517    0.000 manager.py:86(update_events)
   270934    0.472    0.000    0.506    0.000 sprite.py:517(get_hitbox_edges)
     2412    0.028    0.000    0.493    0.000 manager.py:70(update_physics)
     2412    0.013    0.000    0.477    0.000 environment.py:88(update_events)
    24798    0.156    0.000    0.465    0.000 sprite.py:322(update_physics)
    14606    0.140    0.000    0.438    0.000 sprite.py:381(clear_queue)
     4824    0.008    0.000    0.361    0.000 Tkinter.py:2280(create_image)
     5163    0.019    0.000    0.352    0.000 Image.py:664(convert)
     1033    0.035    0.000    0.272    0.000 Image.py:1338(rotate)
     5163    0.270    0.000    0.270    0.000 {method 'convert' of 'ImagingCore' objects}
     2412    0.039    0.000    0.235    0.000 Tkinter.py:523(after)
    26699    0.212    0.000    0.233    0.000 hitbox.py:25(update_corners)
2066/1033    0.011    0.000    0.222    0.000 Image.py:1600(transform)
     2412    0.014    0.000    0.193    0.000 Tkinter.py:2305(delete)
   595434    0.185    0.000    0.185    0.000 {isinstance}
