         10713126 function calls (10712000 primitive calls) in 51.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   32.064   32.064   51.121   51.121 {built-in method mainloop}
   202280   10.253    0.000   10.318    0.000 {built-in method call}
   842756    1.532    0.000    2.379    0.000 sprite.py:518(get_hitbox_edges)
   354772    0.998    0.000    1.182    0.000 sprite.py:382(clear_queue)
    35365    0.640    0.000    5.143    0.000 sprite.py:419(update_collision)
   402968    0.503    0.000    2.724    0.000 sprite.py:509(check_two_sprites_for_collision)
  1685747    0.441    0.000    0.441    0.000 {max}
   390826    0.434    0.000    0.738    0.000 sprite.py:536(update_animation)
  1686283    0.406    0.000    0.406    0.000 {min}
  1272189    0.309    0.000    0.309    0.000 {isinstance}
    26669    0.304    0.000    5.426    0.000 sprite.py:289(draw)
    26670    0.267    0.000    0.702    0.000 Tkinter.py:3265(__init__)
    26670    0.242    0.000    3.830    0.000 ImageTk.py:77(__init__)
    37613    0.241    0.000    0.258    0.000 hitbox.py:25(update_corners)
2244654/2244501    0.208    0.000    0.208    0.000 {len}
    39767    0.197    0.000    0.544    0.000 Tkinter.py:1105(_options)
    39765    0.179    0.000    5.237    0.000 Tkinter.py:2263(_create)
    36820    0.148    0.000    0.569    0.000 sprite.py:323(update_physics)
   162007    0.131    0.000    0.131    0.000 {hasattr}
    39768    0.085    0.000    0.150    0.000 Tkinter.py:109(_cnfmerge)
    26670    0.085    0.000    2.763    0.000 ImageTk.py:153(paste)
     1455    0.078    0.000   18.896    0.013 manager.py:54(run)
     5820    0.064    0.000    0.085    0.000 transformations.py:74(poly_poly)
    26670    0.061    0.000    0.764    0.000 Tkinter.py:3324(__init__)
     5820    0.059    0.000    0.583    0.000 shapes.py:157(draw)
    38311    0.055    0.000    0.151    0.000 Tkinter.py:834(winfo_reqwidth)
    79691    0.055    0.000    0.055    0.000 {method 'update' of 'dict' objects}
     1549    0.054    0.000    0.073    0.000 Tkinter.py:1148(_register)
    79531    0.051    0.000    0.051    0.000 {_tkinter._flatten}
       37    0.047    0.001    0.047    0.001 {method 'stretch' of 'ImagingCore' objects}
     4489    0.045    0.000    0.045    0.000 {method 'read' of 'file' objects}
        1    0.044    0.044    0.044    0.044 {_tkinter.create}
     1455    0.044    0.000   19.063    0.013 run.py:29(move_one)
    53782    0.041    0.000    0.041    0.000 Image.py:519(__getattr__)
    26633    0.041    0.000    0.173    0.000 ImageTk.py:115(__del__)
    28124    0.040    0.000    0.048    0.000 ImageTk.py:124(__str__)
    27624    0.039    0.000    0.059    0.000 Image.py:628(load)
    39766    0.037    0.000    0.107    0.000 Tkinter.py:830(winfo_reqheight)
    54186    0.036    0.000    0.067    0.000 Tkinter.py:1846(__getattr__)
    66457    0.034    0.000    0.034    0.000 {method 'items' of 'dict' objects}
     4365    0.033    0.000    3.542    0.001 shapes.py:1051(draw)
    54495    0.031    0.000    0.031    0.000 {getattr}
     1455    0.030    0.000    5.175    0.004 manager.py:79(update_collision)
     1455    0.029    0.000    0.598    0.000 manager.py:70(update_physics)
    28124    0.029    0.000    1.040    0.000 Tkinter.py:2280(create_image)
     1455    0.029    0.000    0.186    0.000 manager.py:75(update_animation)
        1    0.028    0.028    0.043    0.043 {execfile}
     4365    0.026    0.000    0.051    0.000 Tkinter.py:72(_stringify)
     1455    0.024    0.000    0.566    0.000 environment.py:96(draw)
     8730    0.023    0.000    0.023    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    44876    0.022    0.000    0.022    0.000 {range}
     1455    0.021    0.000    0.123    0.000 Tkinter.py:523(after)
    36825    0.021    0.000    0.025    0.000 sprite.py:475(update_events)
    27550    0.020    0.000    0.020    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     1455    0.017    0.000    0.150    0.000 manager.py:86(update_events)
    43579    0.015    0.000    0.015    0.000 {math.cos}
     5820    0.014    0.000    0.099    0.000 transformations.py:52(poly_rect)
      422    0.013    0.000    0.033    0.000 Tkinter.py:1179(_substitute)
    64412    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
    54795    0.012    0.000    0.012    0.000 Tkinter.py:3287(__str__)
1877/1707    0.012    0.000   19.056    0.011 Tkinter.py:1484(__call__)
     1551    0.011    0.000    0.011    0.000 {built-in method createcommand}
      293    0.011    0.000    0.011    0.000 {method 'convert' of 'ImagingCore' objects}
     1454    0.010    0.000   19.022    0.013 Tkinter.py:534(callit)
     4642    0.010    0.000    0.010    0.000 Tkinter.py:1185(getint_event)
     1455    0.010    0.000    0.109    0.000 environment.py:88(update_events)
    43579    0.009    0.000    0.009    0.000 {math.sin}
     1455    0.008    0.000    0.129    0.000 Tkinter.py:2305(delete)
    26633    0.008    0.000    0.008    0.000 Tkinter.py:3288(__del__)
     4400    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
     5820    0.007    0.000    0.380    0.000 Tkinter.py:2289(create_polygon)
     4365    0.007    0.000    3.477    0.001 Tkinter.py:2295(create_text)
    26670    0.007    0.000    0.007    0.000 {method 'isblock' of 'ImagingCore' objects}
     1455    0.007    0.000    2.463    0.002 Tkinter.py:965(update)
      396    0.007    0.000    0.008    0.000 sprite.py:750(glide_to)
       74    0.006    0.000    0.006    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1454    0.006    0.000    0.016    0.000 Tkinter.py:394(deletecommand)
     1551    0.006    0.000    0.006    0.000 {built-in method deletecommand}
     2086    0.005    0.000    0.005    0.000 {method 'remove' of 'list' objects}
       73    0.005    0.000    0.005    0.000 {method 'paste' of 'ImagingCore' objects}
    22225    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
      159    0.004    0.000    0.011    0.000 GifImagePlugin.py:93(seek)
       43    0.004    0.000    0.081    0.002 sprite.py:141(__init__)
     1456    0.003    0.000    0.387    0.000 Tkinter.py:2292(create_rectangle)
     1549    0.003    0.000    0.003    0.000 Tkinter.py:1479(__init__)
     1949    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      422    0.003    0.000    0.007    0.000 Tkinter.py:1131(nametowidget)
       75    0.003    0.000    0.020    0.000 ImageFile.py:125(load)
        1    0.003    0.003    0.057    0.057 environment.py:1(<module>)
        6    0.002    0.000    0.003    0.000 collections.py:288(namedtuple)
      122    0.002    0.000    0.003    0.000 sre_compile.py:207(_optimize_charset)
      844    0.002    0.000    0.002    0.000 {built-in method getboolean}
      422    0.002    0.000    0.003    0.000 Tkinter.py:1170(_root)
     1556    0.002    0.000    0.002    0.000 {repr}
       73    0.002    0.000    0.013    0.000 Image.py:1338(rotate)
   121/10    0.002    0.000    0.005    0.000 sre_parse.py:379(_parse)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        1    0.002    0.002    0.006    0.006 Image.py:27(<module>)
      159    0.002    0.000    0.017    0.000 GifImagePlugin.py:65(_open)
      159    0.002    0.000    0.018    0.000 environment.py:149(newfunction)
      159    0.002    0.000    0.002    0.000 {open}
   270/10    0.002    0.000    0.006    0.001 sre_compile.py:32(_compile)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
     1608    0.002    0.000    0.003    0.000 GifImagePlugin.py:59(data)
      144    0.002    0.000    0.016    0.000 environment.py:139(newfunction)
      549    0.002    0.000    0.003    0.000 Image.py:472(_new)
     6640    0.002    0.000    0.002    0.000 _binary.py:15(i8)
      147    0.002    0.000    0.002    0.000 {PIL._imaging.new}
      159    0.002    0.000    0.063    0.000 Image.py:1973(open)
        1    0.001    0.001    0.017    0.017 shapes.py:1(<module>)
      293    0.001    0.000    0.032    0.000 Image.py:664(convert)
      159    0.001    0.000    0.001    0.000 ImagePalette.py:26(__init__)
      854    0.001    0.000    0.001    0.000 Image.py:461(__init__)
     1550    0.001    0.000    0.001    0.000 {id}
     1113    0.001    0.000    0.002    0.000 _binary.py:28(i16le)
       73    0.001    0.000    0.001    0.000 {method 'transform2' of 'ImagingCore' objects}
      939    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
